[2025-08-09 17:27:41] [INFO    ] discord.client: logging in using static token
[2025-08-09 17:28:11] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'reru test', 'primary_guild': None, 'mfa_enabled': False, 'id': '1394659887354740889', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '3173', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '487decb3ce64cadd9c8a1bd33e216476', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1394661066260091102'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['japan', 'hongkong', 'singapore', 'india', 'seattle'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1394659887354740889', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-b-r15z",{"micros":84856,"calls":["id_created",{"micros":994,"calls":[]},"session_lookup_time",{"micros":887,"calls":[]},"session_lookup_finished",{"micros":12,"calls":[]},"discord-sessions-prd-2-130",{"micros":82584,"calls":["start_session",{"micros":75965,"calls":["discord-api-rpc-64c97ccbd7-zlzcb",{"micros":54775,"calls":["get_user",{"micros":6625},"get_guilds",{"micros":5033},"send_scheduled_deletion_message",{"micros":21},"guild_join_requests",{"micros":894},"authorized_ip_coro",{"micros":15},"pending_payments",{"micros":9060},"apex_experiments",{"micros":3855},"user_activities",{"micros":7},"played_application_ids",{"micros":3}]}]},"starting_guild_connect",{"micros":25,"calls":[]},"presence_started",{"micros":468,"calls":[]},"guilds_started",{"micros":64,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":6028,"calls":[]},"connect_finished",{"micros":6031,"calls":[]},"build_ready",{"micros":14,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-08-09 17:28:11] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-09 17:28:11] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 487decb3ce64cadd9c8a1bd33e216476).
[2025-08-09 17:28:11] [DEBUG   ] discord.client: Dispatching event connect
[2025-08-09 17:28:11] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'unavailable': False, 'large': False, 'preferred_locale': 'en-US', 'presences': [], 'incidents_data': None, 'stage_instances': [], 'profile': None, 'icon': None, 'stickers': [], 'system_channel_flags': 0, 'owner_configured_content_level': 0, 'inventory_settings': None, 'premium_features': None, 'system_channel_id': '1394661066260091105', 'discovery_splash': None, 'premium_subscription_count': 0, 'emojis': [], 'id': '1394661066260091102', 'name': 'green land', 'safety_alerts_channel_id': None, 'channels': [{'version': 1753200064722, 'type': 4, 'position': 0, 'permission_overwrites': [{'type': 0, 'id': '1397167239303659581', 'deny': '1024', 'allow': '0'}, {'type': 0, 'id': '1396919940057137222', 'deny': '0', 'allow': '1024'}, {'type': 0, 'id': '1394661066260091102', 'deny': '1024', 'allow': '0'}], 'name': 'Text channels', 'id': '1394661066260091103', 'flags': 0}, {'version': 1752583509807, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice channels', 'id': '1394661066260091104', 'flags': 0}, {'version': 1753200789925, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [{'type': 0, 'id': '1397167239303659581', 'deny': '1760303889513553', 'allow': '0'}, {'type': 0, 'id': '1396919940057137222', 'deny': '0', 'allow': '3072'}, {'type': 0, 'id': '1394661066260091102', 'deny': '1024', 'allow': '0'}], 'parent_id': '1394661066260091103', 'name': 'general', 'last_message_id': '1398649993467789342', 'id': '1394661066260091105', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1752583509826, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1394661066260091104', 'name': 'General', 'last_message_id': None, 'id': '1394661066260091106', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}, {'version': 1753200045210, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [{'type': 1, 'id': '1394659887354740889', 'deny': '0', 'allow': '1024'}, {'type': 0, 'id': '1397167239303659581', 'deny': '0', 'allow': '3072'}, {'type': 0, 'id': '1394661066260091102', 'deny': '1024', 'allow': '0'}], 'name': 'lemon', 'last_message_id': '1401928678308446349', 'id': '1396518491611205812', 'flags': 0}], 'rules_channel_id': None, 'owner_id': '1387827179869442161', 'threads': [], 'home_header': None, 'splash': None, 'premium_progress_bar_enabled': False, 'latest_onboarding_question_id': None, 'max_stage_video_channel_users': 50, 'description': None, 'vanity_url_code': None, 'premium_tier': 0, 'moderator_reporting': None, 'banner': None, 'joined_at': '2025-07-15T12:46:12.280000+00:00', 'mfa_level': 0, 'afk_channel_id': None, 'activity_instances': [], 'embedded_activities': [], 'hub_type': None, 'lazy': True, 'default_message_notifications': 0, 'nsfw': False, 'afk_timeout': 300, 'verification_level': 0, 'application_command_counts': {}, 'members': [{'user': {'username': 'reru test', 'public_flags': 0, 'primary_guild': None, 'id': '1394659887354740889', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '3173', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1394661328089514019'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-15T12:46:12.280000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'features': [], 'voice_states': [], 'region': 'deprecated', 'explicit_content_filter': 0, 'nsfw_level': 0, 'member_count': 5, 'max_video_channel_users': 25, 'version': 1753025830794, 'roles': [{'version': 1753195912424, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '140741783322624', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1394661066260091102', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1753462501637, 'unicode_emoji': None, 'tags': {'bot_id': '1394659887354740889'}, 'position': 6, 'permissions': '8', 'name': 'reru test', 'mentionable': False, 'managed': True, 'id': '1394661328089514019', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1753462501631, 'unicode_emoji': None, 'tags': {}, 'position': 4, 'permissions': '0', 'name': 'bot-admin', 'mentionable': False, 'managed': False, 'id': '1396914402170507435', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1753462501625, 'unicode_emoji': None, 'tags': {}, 'position': 2, 'permissions': '0', 'name': 'reader', 'mentionable': False, 'managed': False, 'id': '1396919940057137222', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1753462501628, 'unicode_emoji': None, 'tags': {}, 'position': 3, 'permissions': '0', 'name': 'low quality', 'mentionable': False, 'managed': False, 'id': '1397167239303659581', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1753462501634, 'unicode_emoji': None, 'tags': {}, 'position': 5, 'permissions': '8', 'name': 'workers', 'mentionable': False, 'managed': False, 'id': '1397689329798873238', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1753462574141, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'lq-access', 'mentionable': False, 'managed': False, 'id': '1398347775262851396', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1753463861021, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'holder', 'mentionable': False, 'managed': False, 'id': '1398353526887022756', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1753534543791, 'unicode_emoji': None, 'tags': {'bot_id': '1398646890308042762'}, 'position': 1, 'permissions': '8', 'name': 'reru3 frog', 'mentionable': False, 'managed': True, 'id': '1398649991890735106', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1753535852889, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'new role', 'mentionable': False, 'managed': False, 'id': '1398655482893172876', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'application_id': None, 'max_members': 25000000, 'guild_scheduled_events': [], 'soundboard_sounds': [], 'public_updates_channel_id': None}}
[2025-08-09 17:28:11] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-09 17:28:16] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '62936498de69f1e6b0dd5543fdc3199c', 'members': [{'user': {'username': 'no_name_su', 'public_flags': 4194560, 'primary_guild': {'tag': 'AI', 'identity_guild_id': '781212328749301790', 'identity_enabled': True, 'badge': 'a706b26684db72a5d7e91ba17bb829b9'}, 'id': '1067447973740552213', 'global_name': 'Shadow', 'display_name_styles': None, 'display_name': 'Shadow', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '3a0d218f8e5ad1dd34c4c90db06af165'}, 'roles': ['1396919940057137222', '1397689329798873238'], 'premium_since': None, 'pending': False, 'nick': '123', 'mute': False, 'joined_at': '2025-07-26T11:17:27.164000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'ultimativetryhard', 'public_flags': 0, 'primary_guild': None, 'id': '1315777043203624972', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '7461e6cb60e5af6bdde5468b68e1c15e'}, 'roles': ['1396919940057137222', '1397689329798873238'], 'premium_since': None, 'pending': False, 'nick': '121', 'mute': False, 'joined_at': '2025-07-23T21:20:50.642000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'the.barman.4', 'public_flags': 0, 'primary_guild': {'tag': 'REPO', 'identity_guild_id': '1330873443515760640', 'identity_enabled': True, 'badge': '817c9a719f168b34de7a0e6569deca41'}, 'id': '1387827179869442161', 'global_name': 'The barman', 'display_name_styles': None, 'display_name': 'The barman', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '62cfa7e18f52987c3a552867968fc1ca'}, 'roles': ['1396914402170507435', '1397167239303659581'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-15T12:45:09.760000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'reru test', 'public_flags': 0, 'primary_guild': None, 'id': '1394659887354740889', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '3173', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1394661328089514019'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-15T12:46:12.280000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'reru3 frog', 'public_flags': 0, 'primary_guild': None, 'id': '1398646890308042762', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '8390', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1398649991890735106'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-26T12:55:43.904000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1394661066260091102', 'chunk_index': 0, 'chunk_count': 1}}
[2025-08-09 17:28:16] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-09 17:28:16] [DEBUG   ] discord.state: Processed a chunk for 5 members in guild ID 1394661066260091102.
[2025-08-09 17:28:16] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-08-09 17:28:16] [DEBUG   ] discord.client: Dispatching event ready
[2025-08-09 17:28:41] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBER_UPDATE', 's': 4, 'op': 0, 'd': {'user': {'username': 'no_name_su', 'public_flags': 4194560, 'primary_guild': {'tag': 'AI', 'identity_guild_id': '781212328749301790', 'identity_enabled': True, 'badge': 'a706b26684db72a5d7e91ba17bb829b9'}, 'id': '1067447973740552213', 'global_name': 'Shadow', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': {'tag': 'AI', 'identity_guild_id': '781212328749301790', 'identity_enabled': True, 'badge': 'a706b26684db72a5d7e91ba17bb829b9'}, 'avatar_decoration_data': None, 'avatar': '3a0d218f8e5ad1dd34c4c90db06af165'}, 'unusual_dm_activity_until': None, 'roles': ['1396919940057137222', '1397689329798873238'], 'premium_since': None, 'pending': False, 'nick': '123', 'joined_at': '2025-07-26T11:17:27.164000+00:00', 'guild_id': '1394661066260091102', 'flags': 0, 'communication_disabled_until': None, 'collectibles': None, 'banner': None, 'avatar': None}}
[2025-08-09 17:28:41] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-09 17:28:41] [DEBUG   ] discord.client: Dispatching event member_update
[2025-08-09 17:28:41] [DEBUG   ] discord.http: GET https://discord.com/api/v10/channels/1396518491611205812/messages with None has returned 200
[2025-08-09 17:28:41] [DEBUG   ] discord.http: PATCH https://discord.com/api/v10/guilds/1394661066260091102/members/1067447973740552213 with {"nick":"123"} has returned 200
[2025-08-09 17:28:41] [DEBUG   ] discord.http: PATCH /guilds/{guild_id}/members/{user_id} has found its initial rate limit bucket hash (c7f060a5d9790cb6f53000110a7b7edf).
[2025-08-09 17:28:41] [DEBUG   ] discord.http: PATCH https://discord.com/api/v10/guilds/1394661066260091102/members/1067447973740552213 has received {'avatar': None, 'banner': None, 'communication_disabled_until': None, 'flags': 0, 'joined_at': '2025-07-26T11:17:27.164000+00:00', 'nick': '123', 'pending': False, 'premium_since': None, 'roles': ['1396919940057137222', '1397689329798873238'], 'unusual_dm_activity_until': None, 'collectibles': None, 'user': {'id': '1067447973740552213', 'username': 'no_name_su', 'avatar': '3a0d218f8e5ad1dd34c4c90db06af165', 'discriminator': '0', 'public_flags': 4194560, 'flags': 4194560, 'banner': None, 'accent_color': None, 'global_name': 'Shadow', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': {'identity_guild_id': '781212328749301790', 'identity_enabled': True, 'tag': 'AI', 'badge': 'a706b26684db72a5d7e91ba17bb829b9'}, 'primary_guild': {'identity_guild_id': '781212328749301790', 'identity_enabled': True, 'tag': 'AI', 'badge': 'a706b26684db72a5d7e91ba17bb829b9'}}, 'mute': False, 'deaf': False}
[2025-08-09 17:28:42] [DEBUG   ] discord.http: GET /channels/{channel_id}/messages has found its initial rate limit bucket hash (479c05630b7b353bb5c63f707eeef2ee).
